instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
66,2011-03-07,1,0,3,0,1,1,1,10.7,11.9,55.1,22.9,244,1628,1872
67,2011-03-08,1,0,3,0,2,1,1,12.0,15.1,42.1,8.1,316,1817,2133
68,2011-03-09,1,0,3,0,3,1,2,12.1,14.3,77.5,14.8,191,1700,1891
69,2011-03-10,1,0,3,0,4,1,3,16.0,19.3,0.0,17.5,46,577,623
70,2011-03-11,1,0,3,0,5,1,2,13.0,15.2,65.0,15.6,247,1730,1977
71,2011-03-12,1,0,3,0,6,0,1,13.5,16.3,59.5,14.8,724,1408,2132
72,2011-03-13,1,0,3,0,0,0,1,15.8,19.0,52.7,18.1,982,1435,2417
73,2011-03-14,1,0,3,0,1,1,1,13.3,16.6,49.7,9.2,359,1687,2046
74,2011-03-15,1,0,3,0,2,1,2,13.0,15.9,65.6,12.3,289,1767,2056
75,2011-03-16,1,0,3,0,3,1,2,15.0,18.3,77.7,13.6,321,1871,2192
76,2011-03-17,1,0,3,0,4,1,1,17.0,20.5,60.3,14.0,424,2320,2744
77,2011-03-18,1,0,3,0,5,1,1,22.1,26.4,52.5,15.5,884,2355,3239
78,2011-03-19,1,0,3,0,6,0,1,19.4,23.3,37.9,24.7,1424,1693,3117
79,2011-03-20,1,0,3,0,0,0,1,13.6,16.3,47.4,13.9,1047,1424,2471
80,2011-03-21,2,0,3,0,1,1,2,17.6,20.5,73.7,19.3,401,1676,2077
81,2011-03-22,2,0,3,0,2,1,1,18.1,22.0,62.5,15.1,460,2243,2703
82,2011-03-23,2,0,3,0,3,1,2,14.2,16.9,84.0,15.7,203,1918,2121
83,2011-03-24,2,0,3,0,4,1,2,11.7,13.5,80.6,16.3,166,1699,1865
84,2011-03-25,2,0,3,0,5,1,1,10.8,12.8,49.5,15.5,300,1910,2210
85,2011-03-26,2,0,3,0,6,0,1,10.9,12.9,39.4,14.0,981,1515,2496
86,2011-03-27,2,0,3,0,0,0,2,10.4,12.5,49.4,12.3,472,1221,1693
87,2011-03-28,2,0,3,0,1,1,1,10.8,12.9,30.2,14.2,222,1806,2028
88,2011-03-29,2,0,3,0,2,1,1,12.4,14.6,31.4,15.2,317,2108,2425
89,2011-03-30,2,0,3,0,3,1,2,12.3,14.9,64.7,11.6,168,1368,1536
90,2011-03-31,2,0,3,0,4,1,3,11.0,12.9,91.8,14.6,179,1506,1685
91,2011-04-01,2,0,4,0,5,1,2,12.3,14.2,68.6,17.3,307,1920,2227
92,2011-04-02,2,0,4,0,6,0,2,12.9,15.8,65.4,13.2,898,1354,2252
93,2011-04-03,2,0,4,0,0,0,1,15.5,18.9,48.0,12.2,1651,1598,3249
94,2011-04-04,2,0,4,0,1,1,1,23.5,27.1,42.6,25.8,734,2381,3115
95,2011-04-05,2,0,4,0,2,1,2,17.0,19.9,64.2,26.0,167,1628,1795
96,2011-04-06,2,0,4,0,3,1,1,16.0,19.4,47.1,17.6,413,2395,2808
97,2011-04-07,2,0,4,0,4,1,1,17.9,21.7,60.3,10.9,571,2570,3141
98,2011-04-08,2,0,4,0,5,1,2,13.8,16.2,83.6,15.2,172,1299,1471
99,2011-04-09,2,0,4,0,6,0,2,14.0,17.1,87.8,8.9,879,1576,2455
100,2011-04-10,2,0,4,0,0,0,2,17.5,21.3,85.8,9.8,1188,1707,2895
101,2011-04-11,2,0,4,0,1,1,2,24.4,28.3,71.7,21.7,855,2493,3348
102,2011-04-12,2,0,4,0,2,1,2,20.6,24.7,73.9,18.4,257,1777,2034
103,2011-04-13,2,0,4,0,3,1,2,16.9,20.9,81.9,16.8,209,1953,2162
104,2011-04-14,2,0,4,0,4,1,1,19.2,23.1,54.0,7.4,529,2738,3267
105,2011-04-15,2,0,4,1,5,0,1,18.3,22.1,67.1,15.2,642,2484,3126
106,2011-04-16,2,0,4,0,6,0,3,17.7,21.3,88.8,22.8,121,674,795
107,2011-04-17,2,0,4,0,0,0,1,18.7,22.3,48.0,20.3,1558,2186,3744
108,2011-04-18,2,0,4,0,1,1,1,21.0,25.2,54.2,11.0,669,2760,3429
109,2011-04-19,2,0,4,0,2,1,2,20.7,24.5,66.6,10.6,409,2795,3204
110,2011-04-20,2,0,4,0,3,1,1,24.4,28.2,61.4,16.2,613,3331,3944
111,2011-04-21,2,0,4,0,4,1,1,18.8,22.7,40.7,21.8,745,3444,4189
112,2011-04-22,2,0,4,0,5,1,2,13.8,16.1,73.0,14.7,177,1506,1683
113,2011-04-23,2,0,4,0,6,0,2,18.9,22.5,88.8,15.5,1462,2574,4036
114,2011-04-24,2,0,4,0,0,0,2,23.8,27.6,81.1,12.9,1710,2481,4191
115,2011-04-25,2,0,4,0,1,1,1,24.9,28.7,77.7,12.4,773,3300,4073
116,2011-04-26,2,0,4,0,2,1,1,25.9,29.7,72.9,21.9,678,3722,4400
117,2011-04-27,2,0,4,0,3,1,2,25.4,28.8,83.5,20.9,547,3325,3872
118,2011-04-28,2,0,4,0,4,1,2,25.3,28.9,70.1,21.5,569,3489,4058
119,2011-04-29,2,0,4,0,5,1,1,20.9,24.9,45.7,16.1,878,3717,4595
120,2011-04-30,2,0,4,0,6,0,1,19.4,23.2,50.3,15.8,1965,3347,5312
121,2011-05-01,2,0,5,0,0,0,2,18.5,22.4,76.2,7.1,1138,2213,3351
122,2011-05-02,2,0,5,0,1,1,2,22.5,26.6,73.0,12.3,847,3554,4401
123,2011-05-03,2,0,5,0,2,1,2,25.3,29.1,69.7,23.0,603,3848,4451
124,2011-05-04,2,0,5,0,3,1,2,17.0,20.2,73.7,22.0,255,2378,2633
125,2011-05-05,2,0,5,0,4,1,1,18.8,22.1,44.4,19.8,614,3819,4433
126,2011-05-06,2,0,5,0,5,1,1,19.6,23.7,59.0,15.3,894,3714,4608
127,2011-05-07,2,0,5,0,6,0,1,21.3,25.6,54.1,10.8,1612,3102,4714
128,2011-05-08,2,0,5,0,0,0,1,21.7,25.9,63.2,5.0,1401,2932,4333
129,2011-05-09,2,0,5,0,1,1,1,21.8,26.3,58.9,11.8,664,3698,4362
130,2011-05-10,2,0,5,0,2,1,1,21.8,26.1,48.9,7.7,694,4109,4803
131,2011-05-11,2,0,5,0,3,1,1,22.2,26.4,63.3,8.1,550,3632,4182
132,2011-05-12,2,0,5,0,4,1,1,21.9,26.2,74.8,12.7,695,4169,4864
133,2011-05-13,2,0,5,0,5,1,2,21.0,24.7,86.3,12.0,692,3413,4105
134,2011-05-14,2,0,5,0,6,0,2,21.4,25.0,92.2,9.0,902,2507,3409
135,2011-05-15,2,0,5,0,0,0,2,23.1,26.8,86.7,10.2,1582,2971,4553
136,2011-05-16,2,0,5,0,1,1,1,23.7,27.5,78.8,8.5,773,3185,3958
137,2011-05-17,2,0,5,0,2,1,2,23.0,26.9,83.8,18.6,678,3445,4123
138,2011-05-18,2,0,5,0,3,1,2,22.6,26.4,87.0,13.5,536,3319,3855
139,2011-05-19,2,0,5,0,4,1,2,21.8,25.5,83.0,7.3,735,3840,4575
140,2011-05-20,2,0,5,0,5,1,1,22.0,26.5,72.0,8.4,909,4008,4917
141,2011-05-21,2,0,5,0,6,0,1,24.7,28.6,62.7,8.1,2258,3547,5805
142,2011-05-22,2,0,5,0,0,0,1,24.8,28.7,75.0,9.9,1576,3084,4660
143,2011-05-23,2,0,5,0,1,1,2,25.9,29.5,81.0,15.7,836,3438,4274
144,2011-05-24,2,0,5,0,2,1,2,27.1,30.2,74.1,13.9,659,3833,4492
145,2011-05-25,2,0,5,0,3,1,1,27.1,30.8,69.6,10.3,740,4238,4978
146,2011-05-26,2,0,5,0,4,1,1,29.0,32.7,67.8,13.4,758,3919,4677
147,2011-05-27,2,0,5,0,5,1,1,27.9,31.9,65.4,16.1,871,3808,4679
148,2011-05-28,2,0,5,0,6,0,1,26.9,30.6,73.0,15.4,2001,2757,4758
149,2011-05-29,2,0,5,0,0,0,1,27.4,30.8,81.9,14.3,2355,2433,4788
150,2011-05-30,2,0,5,1,1,0,1,30.1,33.6,68.5,8.8,1549,2549,4098
151,2011-05-31,2,0,5,0,2,1,1,31.8,36.3,63.7,7.5,673,3309,3982
152,2011-06-01,2,0,6,0,3,1,2,31.3,36.0,67.7,13.9,513,3461,3974
153,2011-06-02,2,0,6,0,4,1,1,29.3,32.2,30.5,19.6,736,4232,4968
154,2011-06-03,2,0,6,0,5,1,1,25.4,29.4,35.4,17.0,898,4414,5312
155,2011-06-04,2,0,6,0,6,0,1,26.0,29.7,45.6,8.3,1869,3473,5342
156,2011-06-05,2,0,6,0,0,0,2,26.6,30.8,65.2,9.3,1685,3221,4906
157,2011-06-06,2,0,6,0,1,1,1,27.8,31.1,60.0,8.2,673,3875,4548
158,2011-06-07,2,0,6,0,2,1,1,29.0,32.8,59.8,12.6,763,4070,4833
159,2011-06-08,2,0,6,0,3,1,1,31.8,36.4,62.2,9.2,676,3725,4401
160,2011-06-09,2,0,6,0,4,1,2,33.1,37.9,56.8,10.0,563,3352,3915
161,2011-06-10,2,0,6,0,5,1,1,31.0,35.2,60.5,9.4,815,3771,4586
162,2011-06-11,2,0,6,0,6,0,1,29.7,33.9,65.5,10.4,1729,3237,4966
163,2011-06-12,2,0,6,0,0,0,1,28.4,32.2,74.8,11.0,1467,2993,4460
164,2011-06-13,2,0,6,0,1,1,1,26.0,30.1,49.5,20.5,863,4157,5020
165,2011-06-14,2,0,6,0,2,1,1,24.8,29.6,50.7,18.0,727,4164,4891
166,2011-06-15,2,0,6,0,3,1,1,25.7,29.4,47.2,11.3,769,4411,5180
167,2011-06-16,2,0,6,0,4,1,2,25.8,29.8,68.8,13.8,545,3222,3767
168,2011-06-17,2,0,6,0,5,1,1,26.6,30.0,73.6,9.6,863,3981,4844
169,2011-06-18,2,0,6,0,6,0,1,28.6,32.2,67.0,8.0,1807,3312,5119
170,2011-06-19,2,0,6,0,0,0,2,28.7,32.3,66.7,6.8,1639,3105,4744
171,2011-06-20,2,0,6,0,1,1,2,26.0,29.8,74.6,10.4,699,3311,4010
172,2011-06-21,3,0,6,0,2,1,2,27.9,31.9,77.0,11.5,774,4061,4835
173,2011-06-22,3,0,6,0,3,1,1,30.1,34.7,70.8,11.5,661,3846,4507
174,2011-06-23,3,0,6,0,4,1,2,29.9,34.7,70.3,16.0,746,4044,4790
175,2011-06-24,3,0,6,0,5,1,1,29.7,32.8,57.3,14.9,969,4022,4991
176,2011-06-25,3,0,6,0,6,0,1,28.5,32.2,48.3,14.0,1782,3420,5202
177,2011-06-26,3,0,6,0,0,0,1,27.9,31.9,51.3,6.3,1920,3385,5305
178,2011-06-27,3,0,6,0,1,1,2,28.0,31.9,65.8,7.2,854,3854,4708
179,2011-06-28,3,0,6,0,2,1,1,30.5,34.6,63.4,9.7,732,3916,4648
180,2011-06-29,3,0,6,0,3,1,1,29.9,32.7,49.8,17.5,848,4377,5225
181,2011-06-30,3,0,6,0,4,1,1,28.6,31.9,43.4,12.4,1027,4488,5515
182,2011-07-01,3,0,7,0,5,1,1,29.6,32.6,39.6,6.9,1246,4116,5362
183,2011-07-02,3,0,7,0,6,0,1,30.3,33.4,44.5,7.7,2204,2915,5119
184,2011-07-03,3,0,7,0,0,0,2,29.4,33.4,68.2,15.3,2282,2367,4649
185,2011-07-04,3,0,7,1,1,0,2,29.8,33.3,63.8,5.5,3065,2978,6043
186,2011-07-05,3,0,7,0,2,1,1,30.6,34.8,59.0,8.5,1031,3634,4665
187,2011-07-06,3,0,7,0,3,1,1,29.5,34.3,74.3,10.0,784,3845,4629
188,2011-07-07,3,0,7,0,4,1,1,30.8,34.3,65.1,10.7,754,3838,4592
189,2011-07-08,3,0,7,0,5,1,2,29.1,33.5,75.8,15.1,692,3348,4040
190,2011-07-09,3,0,7,0,6,0,1,30.1,33.2,60.9,11.3,1988,3348,5336
191,2011-07-10,3,0,7,0,0,0,1,30.6,34.5,57.8,12.3,1743,3138,4881
192,2011-07-11,3,0,7,0,1,1,1,31.3,36.5,63.6,18.9,723,3363,4086
193,2011-07-12,3,0,7,0,2,1,1,32.6,37.0,55.9,13.4,662,3596,4258
194,2011-07-13,3,0,7,0,3,1,1,30.6,34.5,63.2,9.8,748,3594,4342
195,2011-07-14,3,0,7,0,4,1,1,27.9,31.8,47.6,16.1,888,4196,5084
196,2011-07-15,3,0,7,0,5,1,1,27.2,31.2,59.1,12.2,1318,4220,5538
197,2011-07-16,3,0,7,0,6,0,1,28.2,31.9,58.5,14.0,2418,3505,5923
198,2011-07-17,3,0,7,0,0,0,1,29.5,33.5,60.4,16.4,2006,3296,5302
199,2011-07-18,3,0,7,0,1,1,1,30.6,35.2,65.1,14.5,841,3617,4458
200,2011-07-19,3,0,7,0,2,1,1,31.8,37.4,65.0,8.8,752,3789,4541
201,2011-07-20,3,0,7,0,3,1,1,31.5,37.3,70.7,7.6,644,3688,4332
202,2011-07-21,3,0,7,0,4,1,2,33.4,41.3,69.1,14.9,632,3152,3784
203,2011-07-22,3,0,7,0,5,1,1,34.8,42.0,58.0,8.9,562,2825,3387
204,2011-07-23,3,0,7,0,6,0,1,34.8,40.2,50.0,8.8,987,2298,3285
205,2011-07-24,3,0,7,0,0,0,1,34.0,39.7,55.1,11.3,1050,2556,3606
206,2011-07-25,3,0,7,0,1,1,1,30.5,36.0,75.7,6.1,568,3272,3840
207,2011-07-26,3,0,7,0,2,1,1,31.6,34.8,54.1,13.4,750,3840,4590
208,2011-07-27,3,0,7,0,3,1,1,31.8,34.5,40.3,12.3,755,3901,4656
209,2011-07-28,3,0,7,0,4,1,1,31.9,37.0,58.3,12.0,606,3784,4390
210,2011-07-29,3,0,7,0,5,1,1,34.4,39.3,54.2,11.7,670,3176,3846
211,2011-07-30,3,0,7,0,6,0,1,33.0,36.4,46.6,11.3,1559,2916,4475
212,2011-07-31,3,0,7,0,0,0,1,33.0,36.5,48.1,11.0,1524,2778,4302
213,2011-08-01,3,0,8,0,1,1,1,31.6,35.2,55.1,10.5,729,3537,4266
214,2011-08-02,3,0,8,0,2,1,1,32.1,35.4,49.1,13.8,801,4044,4845
215,2011-08-03,3,0,8,0,3,1,2,30.0,34.0,65.8,9.1,467,3107,3574
216,2011-08-04,3,0,8,0,4,1,2,29.1,33.2,75.8,13.2,799,3777,4576
217,2011-08-05,3,0,8,0,5,1,1,29.1,32.8,63.1,12.4,1023,3843,4866
218,2011-08-06,3,0,8,0,6,0,2,29.4,33.8,75.5,15.3,1521,2773,4294
219,2011-08-07,3,0,8,0,0,0,1,30.4,35.8,75.3,13.5,1298,2487,3785
220,2011-08-08,3,0,8,0,1,1,1,31.4,35.2,59.2,12.9,846,3480,4326
221,2011-08-09,3,0,8,0,2,1,1,31.8,36.2,57.0,10.1,907,3695,4602
222,2011-08-10,3,0,8,0,3,1,1,31.4,34.2,42.4,13.4,884,3896,4780
223,2011-08-11,3,0,8,0,4,1,1,29.4,32.6,42.4,11.0,812,3980,4792
224,2011-08-12,3,0,8,0,5,1,1,29.0,32.7,41.5,8.4,1051,3854,4905
225,2011-08-13,3,0,8,0,6,0,2,28.1,32.3,73.0,14.2,1504,2646,4150
226,2011-08-14,3,0,8,0,0,0,2,27.7,31.2,81.8,14.9,1338,2482,3820
227,2011-08-15,3,0,8,0,1,1,1,27.3,30.8,71.2,14.0,775,3563,4338
228,2011-08-16,3,0,8,0,2,1,1,28.7,32.3,57.8,15.8,721,4004,4725
229,2011-08-17,3,0,8,0,3,1,1,29.7,33.3,57.5,9.6,668,4026,4694
230,2011-08-18,3,0,8,0,4,1,1,29.2,33.1,65.5,15.6,639,3166,3805
231,2011-08-19,3,0,8,0,5,1,2,28.1,31.7,72.3,9.3,797,3356,4153
232,2011-08-20,3,0,8,0,6,0,1,28.6,32.4,67.4,7.0,1914,3277,5191
233,2011-08-21,3,0,8,0,0,0,1,29.1,33.8,77.0,16.7,1249,2624,3873
234,2011-08-22,3,0,8,0,1,1,1,28.4,31.9,47.0,18.5,833,3925,4758
235,2011-08-23,3,0,8,0,2,1,1,26.3,30.3,45.5,9.8,1281,4614,5895
236,2011-08-24,3,0,8,0,3,1,1,27.6,31.5,60.5,17.0,949,4181,5130
237,2011-08-25,3,0,8,0,4,1,2,28.1,32.3,77.2,14.1,435,3107,3542
238,2011-08-26,3,0,8,0,5,1,1,28.7,33.0,76.1,5.6,768,3893,4661
239,2011-08-27,3,0,8,0,6,0,2,27.9,31.8,85.0,25.2,226,889,1115
240,2011-08-28,3,0,8,0,0,0,1,29.0,32.4,56.2,20.4,1415,2919,4334
241,2011-08-29,3,0,8,0,1,1,1,26.1,30.4,55.5,10.7,729,3905,4634
242,2011-08-30,3,0,8,0,2,1,1,26.2,29.7,54.8,8.4,775,4429,5204
243,2011-08-31,3,0,8,0,3,1,1,26.9,30.6,59.8,5.6,688,4370,5058
244,2011-09-01,3,0,9,0,4,1,1,26.9,30.7,63.9,9.5,783,4332,5115
245,2011-09-02,3,0,9,0,5,1,2,26.4,30.2,72.7,9.4,875,3852,4727
246,2011-09-03,3,0,9,0,6,0,1,27.4,31.7,71.7,12.4,1935,2549,4484
247,2011-09-04,3,0,9,0,0,0,1,29.1,33.3,74.2,13.8,2521,2419,4940
248,2011-09-05,3,0,9,1,1,0,2,27.6,31.3,79.0,14.3,1236,2115,3351
249,2011-09-06,3,0,9,0,2,1,3,22.1,25.8,88.7,23.0,204,2506,2710
250,2011-09-07,3,0,9,0,3,1,3,24.6,27.2,91.7,6.5,118,1878,1996
251,2011-09-08,3,0,9,0,4,1,3,26.0,27.8,94.0,12.9,153,1689,1842
252,2011-09-09,3,0,9,0,5,1,2,26.7,28.9,89.8,8.3,417,3127,3544
253,2011-09-10,3,0,9,0,6,0,1,27.1,30.4,75.4,10.3,1750,3595,5345
254,2011-09-11,3,0,9,0,0,0,1,26.8,30.5,71.4,7.7,1633,3413,5046
255,2011-09-12,3,0,9,0,1,1,1,26.4,30.1,69.2,6.0,690,4023,4713
256,2011-09-13,3,0,9,0,2,1,1,26.7,30.2,71.2,9.5,701,4062,4763
257,2011-09-14,3,0,9,0,3,1,1,27.6,31.3,69.7,11.2,647,4138,4785
258,2011-09-15,3,0,9,0,4,1,2,23.7,27.7,70.9,18.2,428,3231,3659
259,2011-09-16,3,0,9,0,5,1,2,19.2,23.1,59.0,11.0,742,4018,4760
260,2011-09-17,3,0,9,0,6,0,2,20.2,23.9,71.8,12.7,1434,3077,4511
261,2011-09-18,3,0,9,0,0,0,1,20.8,24.5,69.5,12.0,1353,2921,4274
262,2011-09-19,3,0,9,0,1,1,2,22.5,26.5,69.0,10.2,691,3848,4539
263,2011-09-20,3,0,9,0,2,1,2,23.0,26.6,88.1,9.0,438,3203,3641
264,2011-09-21,3,0,9,0,3,1,2,24.4,27.5,90.0,6.5,539,3813,4352
265,2011-09-22,3,0,9,0,4,1,2,25.8,27.7,90.2,8.6,555,4240,4795
266,2011-09-23,4,0,9,0,5,1,2,25.0,26.1,97.2,5.3,258,2137,2395
267,2011-09-24,4,0,9,0,6,0,2,24.9,28.2,86.2,5.3,1776,3647,5423
268,2011-09-25,4,0,9,0,0,0,2,26.0,28.6,84.5,3.4,1544,3466,5010
269,2011-09-26,4,0,9,0,1,1,2,26.6,29.5,84.8,7.4,684,3946,4630
270,2011-09-27,4,0,9,0,2,1,2,26.1,28.7,88.5,7.9,477,3643,4120
271,2011-09-28,4,0,9,0,3,1,2,26.0,28.8,84.9,10.0,480,3427,3907
272,2011-09-29,4,0,9,0,4,1,1,25.3,28.7,69.9,11.6,653,4186,4839
273,2011-09-30,4,0,9,0,5,1,1,23.1,27.2,64.8,13.8,830,4372,5202
274,2011-10-01,4,0,10,0,6,0,2,16.8,20.6,75.4,19.6,480,1949,2429
275,2011-10-02,4,0,10,0,0,0,2,14.6,17.3,79.2,14.9,616,2302,2918
276,2011-10-03,4,0,10,0,1,1,2,15.8,19.6,76.1,5.6,330,3240,3570
277,2011-10-04,4,0,10,0,2,1,1,19.9,23.6,71.0,13.8,486,3970,4456
278,2011-10-05,4,0,10,0,3,1,1,22.1,26.4,64.8,11.9,559,4267,4826
279,2011-10-06,4,0,10,0,4,1,1,20.3,24.0,62.1,9.0,639,4126,4765
280,2011-10-07,4,0,10,0,5,1,1,20.9,25.2,68.4,1.5,949,4036,4985
281,2011-10-08,4,0,10,0,6,0,1,21.4,25.7,70.1,3.0,2235,3174,5409
282,2011-10-09,4,0,10,0,0,0,1,22.2,26.2,72.8,4.3,2397,3114,5511
283,2011-10-10,4,0,10,1,1,0,1,23.4,27.1,73.4,2.8,1514,3603,5117
284,2011-10-11,4,0,10,0,2,1,2,23.2,27.3,80.9,9.6,667,3896,4563
285,2011-10-12,4,0,10,0,3,1,3,22.3,25.9,90.6,16.6,217,2199,2416
286,2011-10-13,4,0,10,0,4,1,2,24.2,27.6,89.7,9.5,290,2623,2913
287,2011-10-14,4,0,10,0,5,1,2,22.6,26.5,71.6,15.0,529,3115,3644
288,2011-10-15,4,0,10,0,6,0,1,20.8,24.9,48.3,17.3,1899,3318,5217
289,2011-10-16,4,0,10,0,0,0,1,21.0,25.2,48.7,18.9,1748,3293,5041
290,2011-10-17,4,0,10,0,1,1,1,21.9,25.5,58.0,11.8,713,3857,4570
291,2011-10-18,4,0,10,0,2,1,2,21.8,26.1,70.2,7.4,637,4111,4748
292,2011-10-19,4,0,10,0,3,1,3,22.2,25.7,89.5,16.3,254,2170,2424
293,2011-10-20,4,0,10,0,4,1,1,19.5,23.3,63.6,28.3,471,3724,4195
294,2011-10-21,4,0,10,0,5,1,1,17.5,21.2,57.4,14.8,676,3628,4304
